organisme;salaire;trailer;CDI_CDD;lieu;experience;salaire mini;salaire maxi
HARNHAM;45 - 65 k€ brut annuel ;LE RÔLE :  Vous intégrerez l’équipe R&D en tant que Data Scientist :  · Comprendre le besoin de l’utilisateur final.  · Présentation de la plateforme et formation des utilisateurs finaux sur son fonctionnement.  · Concevoir, construire, intégrer et maintenir un code efficace.  ·...;CDI ;Paris 17 - 75 ;Aucune expérience exigée;45;65
Full Data Management;35 - 45 k€ brut annuel ;Dans le cadre de notre développement, nous recherchons des profils de Data Scientist pour nos besoins clients.    Environnement technique :  - Python  - R  - SQL  - NOSQL  - Machine Learning  - Deep Learning  - SAS  - Spark  Cloud : GCP / AWS / Azure  Méthodologie : Agile   ...;CDI ;Lille - 59 ;Minimum 2 ans;35;45
TALENTS RH;45 - 50 k€ brut annuel ;Missions :  -Appliquer les statistiques, le machine learning et les approches analytiques pour résoudre les problèmes business -Transformer les volumes de Big Data en informations utiles et exploitables -Traiter la Big Data, avec une certaine expertise dans le domaine de la...;CDI ;Lille - 59 ;Minimum 5 ans;45;50
Groupe Demeter;A partir de 20 k€ brut annuel ;Nous recherchons plusieurs consultants pour venir renforcer les expertises Data du cabinet. Vous évoluerez sur des périmètres clients divers tels que : * Analytics et Data Intelligence * DataScience et Big Data * Business intelligence et Data Visualisation * Méthodes et...;CDI ;Neuilly-sur-Seine - 92 ;Minimum 6 ans;20;20
autobiz;A partir de 20 k€ brut annuel ;Vous venez de soutenir votre thèse de doctorat et recherchez votre première expérience ? En qualité de Data Scientist, vous participez à l’élaboration et au suivi des nombreux projets afin d’aider le pôle Data à se développer. A cet effet, vous serez amené(e) à interagir avec...;CDI ;Courbevoie - 92 ;Minimum 2 ans;20;20
Yzee Services;A partir de 40 k€ brut annuel ;Rattaché au Pôle de la Transformation, et au sein de l'équipe Analytique et Data Science, le Data Scientist aura pour objectif d’analyser et d’exploiter les datas de nos activités de la relation clients.   A ce titre vous intervenez sur les missions suivantes :  Recueillir,...;CDI ;Vendin-le-Vieil - 62 ;Minimum 3 ans;40;40
e-Consulting RH Nord;A partir de 40 k€ brut annuel ;Rattaché(e) au Service Sales Analytics, le/la Data scientist Revenue Management participe à des missions à 360° grâce à ses interactions avec les différentes directions de l’entreprise (Top management, Commerciale, Marketing et Ventes Directes, Contrôle de Gestion, Exploitation...;CDI ;Aix-en-Provence - 13 ;Minimum 3 ans;40;40
Walters People France;30 - 33 k€ brut annuel ;Une banque renommée, leader sur son marché recherche un(e) data scientist H/F pour un contrat à durée indéterminée à pouvoir très rapidement à Perpignan.     Vous rejoindrez une structure offrant de belles perspectives d'évolution dans un environnement dynamique et exigeant. ...;CDI ;Toulouse - 31 ;Minimum 2 ans;30;33
agap2 IT;35 - 50 k€ brut annuel ;Au sein d'une équipe de 10 personnes, vous serez amené intervenir notamment dans le secteur de la défense, sur des sujets liés aux systèmes d'informations critiques / cybersécurité, ou encore dans le secteur de la finance dans le cadre du développement d'une plateforme de...;CDI ;Boulogne-Billancourt - 92 ;Tous niveaux d'expérience acceptés;35;50
Work Agency Marseille;40 - 50 k€ brut annuel ;Work Agency recherche un Data Scientist sur le pays Aixois , pour son client issu du secteur industrielle. En charge du développement de nouveaux algorithmes pour le traitement et l'analyse données, vous serez en charge de développer et intégrer des algorithmes de machine...;CDI ;Aix-en-Provence - 13 ;Minimum 1 an;40;50
HARWELL MANAGEMENT;40 - 80 k€ brut annuel ;Afin d'accompagner notre croissance, nous recherchons un(e) Data Scientist afin d’intervenir chez nos prestigieux clients issus du monde bancaire, financier et assurantiel.  Au sein des Directions des Systèmes d’Information et des départements traitant les problématiques de Big...;CDI ;Paris 16 - 75 ;Minimum 4 ans;40;80
CLEEVEN SE;25 - 40 k€ brut annuel ;Au sein de nos équipes de data science, nous recherchons notre futur data scientist pour nous accompagner dans différents projets mettant en oeuvre les techniques fondamentales de statistiques prédictives (Machine Learning).  Vous aurez de nombreuses missions telles que : ...;CDI ;Biot - 06 ;Tous niveaux d'expérience acceptés;25;40
COFIDIS GROUP;40 - 50 k€ brut annuel ;Être Data Scientist, c'est être au coeur de la valorisation des données. Rattaché(e) au service Data et nouvelles technologies de la Direction de la Donnée de Synergie, vous êtes à la fois expert pour les filiales du groupe des langages d'exploitation des données Big Data et des...;CDI ;Villeneuve-d'Ascq - 59 ;Minimum 2 ans;40;50
UMLAUT;45 - 45 k€ brut annuel ;"notre öffre  vous participerez à la définition et au développement de nouveaux concepts et outils utilisés dans le traitement automatique et l'analyse des big data. Vous serez chargé(e) de :  Recueillir et analyser les besoins du client pour proposer des solutions; Réaliser des...";CDI ;Blagnac - 31 ;Minimum 2 ans;45;45
CAISSE REGIONALE DE CREDIT AGRICOLE MUT SUD-MEDITERRANEE (ARIEGE ET PYRENEES ORIENTALES);A partir de 33 k€ brut annuel ;Développer des algorithmes d’apprentissage automatique selon les besoins du service en lien transversal avec le réseau commercial et les services sièges.  Construire des modèles de machine learning.  Mener les études préalables au développement des actions marketing (étude de...;CDI ;Perpignan - 66 ;Tous niveaux d'expérience acceptés;33;33
DAVIDSON DIGITAL EST;A partir de 32 k€ brut annuel ;Profil / Mission  Dans le cadre de projets Data Science menés par Davidson pour ses clients dans des secteurs variés (Gaming, Luxe, Télécoms, Finance, etc.), tu interviendras en tant que spécialiste ML & DL. Ta mission consistera à accompagner des experts métiers sur des...;CDI ;Strasbourg - 67 ;Tous niveaux d'expérience acceptés;32;32
SENAT;A partir de 60 k€ brut annuel ;L’expert de la donnée apportera une expertise technique et méthodologique au secrétariat de la commission des finances et réalisera notamment les activités suivantes :  - assurer une veille et identifier les données pertinentes à acquérir et à traiter pour les travaux de la...;CDD ;Paris 06 - 75 ;Minimum 3 ans;60;60
Qapa;40 - 75 k€ brut annuel ;Au sein de l’équipe R&D : • Concevoir et développer des algorithmes de machine learning et de deep learning pour analyser les Cvs, matcher les candidats avec les offres, prédire les salaires horaires. • Evaluer leur efficacité, leur performance et limitations et communiquer les...;CDI ;Grenoble - 38 ;Minimum 1 an;40;75
AUTOVISION;28 - 30 k€ brut annuel ;Sous la responsabilité du Responsable Technique et du superviseur Data vos missions principales seront notamment les suivantes :  - Proposer des outils de surveillance des différentes sources d’informations disponibles (base de données contrôle technique, alertes anomalies),  -...;CDI ;Montreuil - 93 ;Tous niveaux d'expérience acceptés;28;30
KAISENS DATA;38 - 48 k€ brut annuel ;"En tant que Data Scientist, vos missions?sont :  Concevoir des modélisations statistiques et des algorithmes pour exploiter les données.; Impulser des démarches innovantes sur des segments à fortes valeurs ajoutées.; Elaborer des modèles prédictifs afin d’anticiper l’évolution...";CDI ;Fontenay-sous-Bois - 94 ;Minimum 1 an;38;48
HARNHAM;70 - 80 k€ brut annuel ;LE RÔLE  Vous serez impliqué dans les efforts concernant notre plateforme de reciblage et notre plateforme de prédiction de LTV.  · Travailler en lien avec l’équipe Data Engineer (planification, Git PRs, examen des résultats, etc.)  · Perfectionner des algorithmes déjà...;CDI ;Paris 01 - 75 ;Minimum 5 ans;70;80
AQUILA DATA ENABLER;A partir de 45 k€ brut annuel ;"Au sein du Lab d’Aquila, vous travaillerez sur plusieurs projets, en tant que Data Scientist (F/H) spécialisé NLP / Text mining / reconnaissance vocale.  Vos missions seront :  Accompagnement du client pour l’émergence des besoins centrés sur la donnée; Etude de la problématique...";CDI ;Courbevoie - 92 ;Tous niveaux d'expérience acceptés;45;45
D3S;50 - 90 k€ brut annuel ;"Data Scientists spécialistes en conception d'algorithmes innovants et développement de solutions logicielles.  Vous rejoindrez une équipe formée dans des établissements prestigieux (X, ENS, Centrale, Supaero, Ensimag, etc.); Vous participerez à l’analyse de données et au...";CDI ;Grenoble - 38 ;Tous niveaux d'expérience acceptés;50;90
SIXFOISSEPT;A partir de 50 k€ brut annuel ;Vous savez écouter… et comprendre une problématique métier.  Vous savez tester vos hypothèses, valider vos résultats et avez une forte appétence pour la programmation... Plutôt que le clic-bouton !  Vous savez être force de proposition et avez à cœur de convaincre (et d’écouter)...;CDI ;Paris 02 - 75 ;Minimum 4 ans;50;50
Bouygues Telecom;40 - 50 k€ brut annuel ;Nos données peuvent nous aider, elles sont nombreuses et très variées, mais elles ont besoin d'un spécialiste pour les aider à parler et accompagner les différentes équipes dans l'innovation (Marketing, Commerce, Digital, TV, …). Nous sommes une équipe de 7 Data...;CDI ;Meudon - 92 ;Minimum 2 ans;40;50
Bouygues Telecom;40 - 50 k€ brut annuel ;Nos données peuvent nous aider, elles sont nombreuses et très variées, mais elles ont besoin d'un spécialiste pour les aider à parler et accompagner les différentes équipes dans l'innovation (Marketing, Commerce, Digital, TV, …).  Nous sommes une équipe de 7 Data...;CDI ;Meudon - 92 ;Minimum 2 ans;40;50
Bouygues Telecom;40 - 50 k€ brut annuel ;Nos données peuvent nous aider, elles sont nombreuses et très variées, mais elles ont besoin d'un spécialiste pour les aider à parler et accompagner les différentes équipes dans l'innovation (Marketing, Commerce, Digital, TV, …). Nous sommes une équipe de 7 Data...;CDI ;Meudon - 92 ;Minimum 2 ans;40;50
AQSONE;A partir de 40 k€ brut annuel ;"Description du poste  Vous êtes créatif.ve et passionné.e par la Data Science ?; Vous aimez répondre à des problématiques métier concrètes ?; Vous aspirez à enrichir vos compétences et à évoluer dans un environnement stimulant ?; Vous voulez mettre en œuvre la Data Science pour...";CDI ;Boulogne-Billancourt - 92 ;Minimum 1 an;40;40
SIDERLOG;35 - 45 k€ brut annuel ;"Vous travaillez en relation directe avec le client et intégrez une équipe de consultants Siderlog, vous devrez :  Collecter les besoins et assister à la rédaction de cahiers des charges auprès des directions fonctionnelles (outils, modèles, choix d’indicateurs, …); Concevoir et...";CDI ;Nantes - 44 ;Minimum 3 ans;35;45
NANO CORP;A partir de 55 k€ brut annuel ;Vous serez amené.es à :  · Rendre compréhensible de vastes volumes de données réseaux au travers de dashboards dynamiques et de visualisations custom complexes  · Etudier les données en possession de l’entreprise qui permettront de définir les données qui seront extraites et...;CDI ;Paris 10 - 75 ;Minimum 3 ans;55;55
Geosys SAS;A partir de 45 k€ brut annuel ;L’agriculture fait face à des challenges sans?précédent?: le changement climatique induit des risques accrus, et les agriculteurs doivent maintenir voire améliorer leur productivité tout en réduisant leur impact environnemental. ?Rejoignez EarthDaily Agro pour contribuer à...;CDI ;Balma - 31 ;Minimum 5 ans;45;45
MYCOM FRANCE;A partir de 60 k€ brut annuel ;FOCUS :  Le rôle a un impact direct sur la croissance des activités de l’entreprise. Vous contribuerez grandement à influencer et à mettre en œuvre la vision stratégique de l’entreprise en matière de cas d’utilisation de l’IA / ML. Vous mènerez des activités de science des...;CDI ;Puteaux - 92 ;Minimum 5 ans;60;60
KAISENS DATA;45 - 65 k€ brut annuel ;Kaisens Data est un éditeur de solutions logicielles en I.A / Data science avec une filiale de conseil, qui accompagne les sociétés de CAC40 dans les domaines de l'industrie, l'aéronautique, les banques et les assurances.  Afin d'accélérer notre programme de recherche et de...;CDI ;Fontenay-sous-Bois - 94 ;Minimum 1 an;45;65
AQUILA DATA ENABLER;A partir de 45 k€ brut annuel ;Au sein du Lab interne d’Aquila Data Enabler, vous travaillerez sur plusieurs projets pour le compte de différents clients, en tant que Data Scientist (F/H), notamment sur les projets concernant le traitement du signal.  Vos missions seront :  Accompagnement des clients pour...;CDI ;Courbevoie - 92 ;Tous niveaux d'expérience acceptés;45;45
AQSONE;A partir de 60 k€ brut annuel ;"Description du poste  Vous êtes créatif.ve et passionné.e par la Data Science ?; Vous aimez répondre à des problématiques métier concrètes ?; Vous aspirez à enrichir vos compétences et à évoluer dans un environnement stimulant ?; Vous voulez mettre en œuvre la Data Science pour...";CDI ;Boulogne-Billancourt - 92 ;Minimum 5 ans;60;60
Kicklox;35 - 50 k€ brut annuel ;Description du poste :  Postulez chez Kicklox pour accéder aux opportunités cachées chez nos plus de 1000 entreprises partenaires.  On recherche activement plusieurs Data Scientists pour le compte de nos clients (startups ou grands groupes).  Les missions pour ce rôle seront : ...;CDI ;Paris 01 - 75 ;Tous niveaux d'expérience acceptés;35;50
